"","module_sub_module","layer_from","layer_to","distance","num_of_species"
"655","1 . 2",11,12,70.701802,9
"656","1 . 2",13,14,93.399466,8
"657","1 . 2",1,2,505.679714,15
"658","1 . 2",11,12,70.701802,9
"659","1 . 2",13,14,93.399466,8
"660","1 . 2",1,2,505.679714,15
"661","1 . 2",11,12,70.701802,9
"662","1 . 2",13,14,93.399466,8
"663","1 . 2",1,2,505.679714,15
"664","1 . 2",11,12,70.701802,9
"665","1 . 2",13,14,93.399466,8
"666","1 . 2",1,2,505.679714,15
"667","1 . 2",11,12,70.701802,9
"668","1 . 2",13,14,93.399466,8
"669","1 . 2",1,2,505.679714,15
"670","1 . 2",11,12,70.701802,9
"671","1 . 2",13,14,93.399466,8
"672","1 . 2",1,2,505.679714,15
"673","1 . 2",11,12,70.701802,9
"674","1 . 2",13,14,93.399466,8
"675","1 . 2",1,2,505.679714,15
"676","1 . 2",11,12,70.701802,9
"677","1 . 2",13,14,93.399466,8
"678","1 . 2",1,2,505.679714,15
