"node_from","node_to","layer_from","co_occurrences","interactions","weight"
31,187,7,6,4,1
31,187,8,6,4,3
31,187,9,6,4,1
31,187,10,6,4,8
31,187,11,6,4,0
31,187,12,6,4,0
31,193,10,2,2,1
31,193,14,2,2,1
31,207,11,2,1,3
31,207,14,2,1,0
31,212,7,1,1,2
31,216,8,3,2,0
31,216,11,3,2,3
31,216,12,3,2,4
31,217,7,4,1,0
31,217,8,4,1,1
31,217,9,4,1,0
31,217,10,4,1,0
31,235,7,3,2,3
31,235,8,3,2,4
31,235,12,3,2,0
31,238,7,4,2,9
31,238,8,4,2,2
31,238,11,4,2,0
31,238,12,4,2,0
31,241,7,3,1,0
31,241,8,3,1,1
31,241,10,3,1,0
31,242,9,3,1,1
31,242,10,3,1,0
31,242,14,3,1,0
31,243,8,4,2,5
31,243,11,4,2,0
31,243,12,4,2,1
31,243,13,4,2,0
31,245,11,1,1,1
31,253,7,2,1,1
31,253,8,2,1,0
31,265,13,2,1,1
31,265,14,2,1,0
31,41,10,1,1,1
31,50,7,4,2,0
31,50,8,4,2,0
31,50,9,4,2,1
31,50,10,4,2,3
31,60,7,6,1,0
31,60,8,6,1,0
31,60,9,6,1,1
31,60,10,6,1,0
31,60,11,6,1,0
31,60,12,6,1,0
31,62,7,3,2,2
31,62,11,3,2,0
31,62,12,3,2,11
31,92,7,8,8,59
31,92,8,8,8,12
31,92,9,8,8,49
31,92,10,8,8,36
31,92,11,8,8,14
31,92,12,8,8,48
31,92,13,8,8,28
31,92,14,8,8,43
32,101,3,2,1,0
32,101,4,2,1,1
32,264,3,2,1,1
32,264,4,2,1,0
32,91,3,2,1,0
32,91,4,2,1,4
33,146,12,1,1,1
33,163,11,3,1,0
33,163,12,3,1,3
33,163,14,3,1,0
33,165,11,3,2,6
33,165,12,3,2,2
33,165,14,3,2,0
33,170,12,2,1,1
33,170,14,2,1,0
33,192,11,3,3,1
33,192,12,3,3,3
33,192,14,3,3,4
33,210,14,1,1,1
33,216,11,2,2,2
33,216,12,2,2,2
33,248,14,1,1,2
33,272,11,2,2,3
33,272,12,2,2,1
33,275,11,3,3,6
33,275,12,3,3,11
33,275,14,3,3,2
33,283,12,1,1,1
33,60,11,2,1,0
33,60,12,2,1,1
33,88,11,2,1,1
33,88,12,2,1,0
33,92,11,3,1,0
33,92,12,3,1,9
33,92,14,3,1,0
34,115,5,1,1,3
34,130,6,2,1,1
34,130,7,2,1,0
34,163,5,3,2,3
34,163,6,3,2,4
34,163,11,3,2,0
34,165,5,4,2,0
34,165,6,4,2,3
34,165,7,4,2,0
34,165,11,4,2,3
34,199,5,3,1,1
34,199,6,3,1,0
34,199,7,3,1,0
34,211,6,1,1,1
34,255,11,1,1,1
34,266,7,1,1,1
34,270,6,2,1,1
34,270,11,2,1,0
34,60,5,4,3,0
34,60,6,4,3,3
