"","from","to","weight"
"600","9 _ 31","9 _ 60",1
"601","9 _ 31","9 _ 92",49
"602","9 _ 31","9 _ 138",3
"603","9 _ 31","9 _ 152",1
"604","9 _ 31","9 _ 187",1
"605","9 _ 31","9 _ 242",1
"606","9 _ 35","9 _ 50",1
"607","9 _ 35","9 _ 78",1
"608","9 _ 35","9 _ 92",7
"609","9 _ 35","9 _ 175",1
"610","9 _ 35","9 _ 242",1
"611","9 _ 38","9 _ 50",3
"612","9 _ 38","9 _ 92",6
"613","9 _ 38","9 _ 165",2
"614","9 _ 38","9 _ 166",1
"615","9 _ 38","9 _ 167",1
"616","10 _ 1","10 _ 60",1
"617","10 _ 1","10 _ 92",8
"618","10 _ 1","10 _ 126",3
"619","10 _ 1","10 _ 137",1
"620","10 _ 1","10 _ 165",4
"621","10 _ 1","10 _ 190",1
"622","10 _ 1","10 _ 241",1
"623","10 _ 1","10 _ 254",3
"624","10 _ 1","10 _ 274",3
"625","10 _ 1","10 _ 275",2
"626","10 _ 1","10 _ 278",37
"627","10 _ 4","10 _ 139",1
"628","10 _ 5","10 _ 50",4
"629","10 _ 5","10 _ 92",6
"630","10 _ 5","10 _ 138",1
"631","10 _ 5","10 _ 181",5
"632","10 _ 5","10 _ 211",4
"633","10 _ 5","10 _ 254",1
"634","10 _ 6","10 _ 92",1
"635","10 _ 6","10 _ 276",1
"636","10 _ 6","10 _ 278",2
"637","10 _ 8","10 _ 92",24
"638","10 _ 8","10 _ 96",1
"639","10 _ 8","10 _ 102",1
"640","10 _ 8","10 _ 138",1
"641","10 _ 8","10 _ 178",3
"642","10 _ 8","10 _ 217",35
"643","10 _ 8","10 _ 218",2
"644","10 _ 8","10 _ 266",7
"645","10 _ 9","10 _ 50",19
"646","10 _ 9","10 _ 83",4
"647","10 _ 9","10 _ 92",51
"648","10 _ 9","10 _ 118",1
"649","10 _ 9","10 _ 124",1
"650","10 _ 9","10 _ 138",3
"651","10 _ 9","10 _ 141",11
"652","10 _ 9","10 _ 142",8
"653","10 _ 9","10 _ 175",2
"654","10 _ 9","10 _ 184",1
"655","10 _ 9","10 _ 242",2
"656","10 _ 9","10 _ 266",3
"657","10 _ 9","10 _ 274",42
"658","10 _ 10","10 _ 92",20
"659","10 _ 10","10 _ 138",1
"660","10 _ 10","10 _ 139",1
"661","10 _ 10","10 _ 142",2
"662","10 _ 12","10 _ 92",2
"663","10 _ 12","10 _ 163",3
"664","10 _ 12","10 _ 275",5
"665","10 _ 13","10 _ 92",8
"666","10 _ 13","10 _ 101",1
"667","10 _ 13","10 _ 158",2
"668","10 _ 16","10 _ 165",1
"669","10 _ 17","10 _ 178",1
"670","10 _ 17","10 _ 254",1
"671","10 _ 17","10 _ 284",1
"672","10 _ 18","10 _ 44",2
"673","10 _ 18","10 _ 55",2
"674","10 _ 18","10 _ 56",2
"675","10 _ 18","10 _ 92",7
"676","10 _ 18","10 _ 166",1
"677","10 _ 26","10 _ 44",1
"678","10 _ 26","10 _ 55",1
"679","10 _ 26","10 _ 56",1
"680","10 _ 26","10 _ 92",1
"681","10 _ 26","10 _ 266",1
"682","10 _ 27","10 _ 92",16
"683","10 _ 27","10 _ 109",4
"684","10 _ 27","10 _ 275",15
"685","10 _ 30","10 _ 50",19
"686","10 _ 30","10 _ 55",7
"687","10 _ 30","10 _ 92",3
"688","10 _ 30","10 _ 124",1
"689","10 _ 30","10 _ 126",7
"690","10 _ 30","10 _ 138",9
"691","10 _ 30","10 _ 139",5
"692","10 _ 30","10 _ 165",16
"693","10 _ 30","10 _ 166",10
"694","10 _ 30","10 _ 181",11
"695","10 _ 30","10 _ 211",1
"696","10 _ 30","10 _ 254",9
"697","10 _ 30","10 _ 278",1
"698","10 _ 31","10 _ 41",1
"699","10 _ 31","10 _ 50",3
"700","10 _ 31","10 _ 92",36
"701","10 _ 31","10 _ 112",1
"702","10 _ 31","10 _ 138",1
"703","10 _ 31","10 _ 141",2
"704","10 _ 31","10 _ 187",8
"705","10 _ 31","10 _ 193",1
"706","10 _ 35","10 _ 92",11
"707","10 _ 35","10 _ 242",1
"708","10 _ 38","10 _ 92",1
"709","10 _ 38","10 _ 124",1
"710","10 _ 38","10 _ 140",1
"711","10 _ 38","10 _ 178",1
"712","11 _ 1","11 _ 80",1
"713","11 _ 1","11 _ 88",2
"714","11 _ 1","11 _ 90",1
"715","11 _ 1","11 _ 92",2
"716","11 _ 1","11 _ 111",2
"717","11 _ 1","11 _ 165",5
"718","11 _ 1","11 _ 192",1
"719","11 _ 1","11 _ 215",1
